CODE;CODE_LABEL
S79;lésions traumatiques de la hanche et de la cuisse, autres et sans précision
B91;séquelles de poliomyélite
L84;cors et callosités
S23;luxation, entorse et foulure des articulations et des ligaments du thorax
S76;lésion traumatique de muscles et de tendons au niveau de la hanche et de la cuisse
A92;autres fièvres virales transmises par des moustiques
L85;autres épaississements de l'épiderme
S77;écrasement de la hanche et de la cuisse
L86;kératodermie au cours de maladies classées ailleurs
S74;lésion traumatique de nerfs au niveau de la hanche et de la cuisse
L87;anomalies de l'élimination transépidermique
S75;lésion traumatique de vaisseaux sanguins au niveau de la hanche et de la cuisse
S72;fracture du fémur
A27;leptospirose
L89;ulcère de décubitus et zone de pression
H90;surdité de transmission et neurosensorielle
Q16;malformations congénitales de l'oreille avec atteinte de l'audition
S73;luxation, entorse et foulure de l'articulation et des ligaments de la hanche
H26;autres cataractes
H27;autres affections du cristallin
A86;encéphalite virale, sans précision
A88;autres infections virales du système nerveux central, non classées ailleurs
A04;autres infections intestinales bactériennes
S70;lésion traumatique superficielle de la hanche et de la cuisse
B59;pneumocystose
H28;cataracte et autres affections du cristallin au cours de maladies classées ailleurs
B25;maladie à cytomégalovirus
R27;autres troubles de la coordination
S71;plaie ouverte de la hanche et de la cuisse
B26;oreillons
Y69;accident et complication au cours d'un acte médical et chirurgical, sans précision
R71;anomalies des globules rouges
B27;mononucléose infectieuse
R29;autres symptômes et signes relatifs aux systèmes nerveux et ostéo-musculaire
O28;résultats anormaux constatés au cours de l'examen prénatal systématique de la mère
Z36;dépistage prénatal
T78;effets indésirables, non classés ailleurs
R26;anomalies de la démarche et de la motilité
L80;vitiligo
E13;autres diabètes sucrés précisés
L81;autres anomalies de la pigmentation
R25;mouvements involontaires anormaux
R81;glycosurie
W00;chute de plain-pied due à la glace et la neige
W03;autre chute de plain-pied due à une collision avec, ou une poussée par un tiers
Y60;coupure, piqûre, perforation ou hémorragie accidentelles au cours d'actes médicaux et chirurgicaux
C75;tumeur maligne d'autres glandes endocrines et structures apparentées
Y61;corps étranger accidentellement laissé dans l'organisme au cours d'actes médicaux et chirurgicaux
Z49;surveillance d'une dialyse
Z87;antécédents personnels d'autres maladies
A60;infection ano-génitale par le virus de l'herpès [herpes simplex]
C82;lymphome folliculaire
Y62;asepsie insuffisante au cours d'actes médicaux et chirurgicaux
T43;intoxication par médicaments psychotropes, non classés ailleurs
R61;hyperhidrose
L74;affections des glandes sudoripares exocrines
B52;paludisme à Plasmodium malariae
Y64;substances médicales ou biologiques contaminées
B74;filariose
Y65;autres accidents et complications au cours d'actes médicaux et chirurgicaux
O10;hypertension préexistante compliquant la grossesse, l'accouchement et la puerpéralité
C83;lymphome non folliculaire
Y66;non-administration de soins médicaux et chirurgicaux
E58;carence alimentaire en calcium
H50;autres strabismes
H62;affections de l'oreille externe au cours de maladies classées ailleurs
H51;autres anomalies des mouvements binoculaires
H61;autres affections de l'oreille externe
H60;otite externe
Z21;infection asymptomatique par le virus de l'immunodéficience humaine [VIH]
E51;carence en thiamine
H52;vices de réfraction et troubles de l'accommodation
K01;dents incluses et enclavées
M35;autres atteintes systémiques du tissu conjonctif
C02;tumeur maligne de la langue, parties autres et non précisées
E05;thyréotoxicose [hyperthyroïdie]
B50;paludisme à Plasmodium falciparum
A39;infection à méningocoques
L97;ulcère du membre inférieur, non classé ailleurs
D09;carcinome in situ de sièges autres et non précisés
C03;tumeur maligne de la gencive
G70;myasthénie et autres affections neuro-musculaires
A71;trachome
U90;autres formes de pharmacorésistance
D06;carcinome in situ du col de l'utérus
L94;autres affections localisées du tissu conjonctif
C04;tumeur maligne du plancher de la bouche
T86;échec et rejet d'organes et de tissus greffés
T82;complications de prothèses, implants et greffes cardiaques et vasculaires
A63;autres maladies dont le mode de transmission est essentiellement sexuel, non classées ailleurs
T74;syndromes dus à de mauvais traitements
Z63;autres difficultés liées à l'entourage immédiat, y compris la situation familiale
D10;tumeur bénigne de la bouche et du larynx
L95;vascularite [angéite] limitée à la peau, non classée ailleurs
D07;carcinome in situ d'organes génitaux, autres et non précisés
C05;tumeur maligne du palais
A64;maladie sexuellement transmise, sans précision
D11;tumeur bénigne des glandes salivaires principales
C06;tumeur maligne de la bouche, parties autres et non précisées
B34;infection virale, siège non précisé
D12;tumeur bénigne du côlon, du rectum, de l'anus et du canal anal
C07;tumeur maligne de la glande parotide
H35;autres affections rétiniennes
L98;autres affections de la peau et du tissu cellulaire sous-cutané, non classées ailleurs
A52;syphilis tardive
D13;tumeurs bénignes de parties autres et mal définies de l'appareil digestif
C08;tumeur maligne des glandes salivaires principales, autres et non précisées
H36;affections rétiniennes au cours de maladies classées ailleurs
L43;lichen plan
L99;autres affections de la peau et du tissu cellulaire sous-cutané au cours de maladies classées ailleurs
D14;tumeur bénigne de l'oreille moyenne et de l'appareil respiratoire
B33;autres maladies à virus, non classées ailleurs
C09;tumeur maligne de l'amygdale
S44;lésion traumatique de nerfs au niveau de l'épaule et du bras
H33;décollement et déchirure de la rétine
B45;cryptococcose
K35;appendicite aiguë
D16;tumeur bénigne des os et du cartilage articulaire
H34;occlusions vasculaires rétiniennes
E34;autres troubles endocriniens
W56;contact avec un animal marin
W55;morsure ou coup donné par d'autres mammifères
D17;tumeur lipomateuse bénigne
H31;autres affections de la choroïde
N84;polype de l'appareil génital de la femme
D18;hémangiome et lymphangiome, tout siège
H32;affections choriorétiniennes au cours de maladies classées ailleurs
I67;autres maladies cérébrovasculaires
T96;séquelles d'intoxications par médicaments et substances biologiques
Q61;maladies kystiques du rein
T95;séquelles de brûlures, corrosions et gelures
C26;tumeur maligne des organes digestifs, de sièges autres et mal définis
Q62;anomalies congénitales obstructives du bassinet et malformations congénitales de l'uretère
T94;séquelles de lésions traumatiques de parties du corps multiples et non précisées
G71;affections musculaires primitives
P05;retard de croissance et malnutrition du foetus
N00;syndrome néphritique aigu
N01;syndrome néphritique d'évolution rapide
P07;anomalies liées à une brièveté de la gestation et un poids insuffisant à la naissance, non classés ailleurs
T98;séquelles de causes externes, autres et sans précision
N03;syndrome néphritique chronique
Z29;nécessité d'autres mesures prophylactiques
N04;syndrome néphrotique
N05;syndrome néphritique, sans précision
P08;anomalies liées à une gestation prolongée et un poids élevé à la naissance
B23;immunodéficience humaine virale [VIH], à l'origine d'autres maladies
N06;protéinurie isolée avec lésions morphologiques précisées
N07;néphropathie héréditaire, non classée ailleurs
B39;histoplasmose
C69;tumeur maligne de l'oeil et de ses annexes
W32;décharge d'arme de poing
J85;abcès du poumon et du médiastin
A50;syphilis congénitale
Z20;sujets en contact avec et exposés à des maladies transmissibles
Z83;antécédents familiaux d'autres maladies spécifiques
E01;affections thyroïdiennes et apparentées liées à une carence en iode
E03;autres hypothyroïdies
Q20;malformations congénitales des cavités et des orifices cardiaques
N87;dysplasie du col de l'utérus
W39;projections de feu d'artifice
N86;érosion et ectropion du col de l'utérus
M07;arthropathies psoriasiques et entéropathiques
N85;autres affections non inflammatoires de l'utérus, sauf le col
M06;autres polyarthrites rhumatoïdes
N25;affections dues à une tubulopathie
D50;anémie par carence en fer
R62;retard du développement physiologique
Y34;événement sans précision, intention non déterminée
R05;toux
D21;autres tumeurs bénignes du tissu conjonctif et des autres tissus mous
L53;autres formes d'érythème
V18;cycliste blessé dans un accident de transport, sans collision
V19;cycliste blessé dans des accidents de transport, autres et sans précision
A21;tularémie
B24;immunodéficience humaine virale [VIH], sans précision
L60;maladies des ongles
Y30;chute, saut ou précipitation dans le vide, intention non déterminée
B51;paludisme à Plasmodium vivax
Y31;lésion traumatique par un objet en mouvement (la victime étant tombée ou couchée devant l'objet ou entrée en collision avec celui-ci), intention non déterminée
F99;trouble mental, sans autre indication
Y32;accident de véhicule à moteur, intention non déterminée
Q38;autres malformations congénitales de la langue, de la bouche et du pharynx
Y33;autres événements précisés, intention non déterminée
Q72;raccourcissement congénital du membre inférieur
Q66;anomalies morphologiques congénitales du pied
C65;tumeur maligne du bassinet
C64;tumeur maligne du rein, à l'exception du bassinet
M87;ostéonécrose
B08;autres infections virales caractérisées par des lésions cutanéo-muqueuses, non classées ailleurs
T00;lésions traumatiques superficielles de plusieurs parties du corps
T13;autres lésions traumatiques du membre inférieur, niveau non précisé
X19;contact avec des sources de chaleur et des substances brûlantes, autres et sans précision
C57;tumeur maligne des organes génitaux de la femme, autres et non précisés
N44;torsion du testicule
N50;autres affections des organes génitaux de l'homme
T54;effet toxique de substances corrosives
K00;troubles de l'odontogénèse
K42;hernie ombilicale
T55;effet toxique de savons et détergents
A82;rage
J80;syndrome de détresse respiratoire de l'adulte
R06;anomalies de la respiration
K02;caries dentaires
T52;effet toxique de solvants organiques
T53;effet toxique de dérivés halogénés d'hydrocarbures aliphatiques et aromatiques
N30;cystite
T51;effet toxique de l'alcool
I40;myocardite aiguë
H11;autres affections de la conjonctive
I41;myocardite au cours de maladies classées ailleurs
I33;endocardite aiguë et subaiguë
M02;arthropathies réactionnelles
C41;tumeur maligne des os et du cartilage articulaire, de sièges autres et non précisés
I32;péricardite au cours de maladies classées ailleurs
M03;arthropathies post-infectieuses et réactionnelles au cours de maladies classées ailleurs
S88;amputation traumatique de la jambe
S81;plaie ouverte de la jambe
I31;autres maladies du péricarde
A48;autres maladies bactériennes, non classées ailleurs
M19;autres arthroses
M00;arthrites à bactéries pyogènes
I30;péricardite aiguë
P50;perte de sang foetal
M01;arthrites infectieuses directes au cours de maladies infectieuses et parasitaires classées ailleurs
I37;atteintes de la valvule pulmonaire
A87;méningite virale
T57;effet toxique d'autres substances non organiques
A25;fièvres causées par morsure de rat
I36;atteintes non rhumatismales de la valvule tricuspide
T56;effet toxique des métaux
I35;atteintes non rhumatismales de la valvule aortique
T59;effets toxiques d'autres émanations, gaz et fumées
I34;atteintes non rhumatismales de la valvule mitrale
T58;effet toxique du monoxyde de carbone
M77;autres enthésopathies
D36;tumeur bénigne de sièges autres et non précisés
M41;scoliose
Y29;contact avec objet contondant, intention non déterminée
D35;tumeur bénigne des glandes endocrines, autres et non précisées
M43;autres dorsopathies avec déformation
Y28;contact avec objet tranchant, intention non déterminée
C71;tumeur maligne de l'encéphale
M34;sclérodermie systémique
Y27;contact avec de la vapeur, du gaz et des objets brûlants, intention non déterminée
I39;endocardite et atteintes valvulaires cardiaques au cours de maladies classées ailleurs
R72;anomalies des globules blancs, non classées ailleurs
D72;autres anomalies des leucocytes
M40;cyphose et lordose
Y26;exposition à la fumée, au feu et aux flammes, intention non déterminée
I38;endocardite, valvule non précisée
Y25;contact avec matériel explosif, intention non déterminée
M17;gonarthrose [arthrose du genou]
D32;tumeur bénigne des méninges
F48;autres troubles névrotiques
Y24;décharge d'armes à feu, autres et sans précision, intention non déterminée
M18;arthrose de la première articulation carpo-métacarpienne
D31;tumeur bénigne de l'oeil et de ses annexes
M15;polyarthrose
Y23;décharge de fusil, carabine et arme à feu de plus gros calibre, intention non déterminée
D34;tumeur bénigne de la thyroïde
Y22;décharge d'une arme de poing, intention non déterminée
M16;coxarthrose [arthrose de la hanche]
D33;tumeur bénigne de l'encéphale et d'autres parties du système nerveux central
F43;réaction à un facteur de stress sévère, et troubles de l'adaptation
F03;démence, sans précision
G30;maladie d'Alzheimer
B81;autres helminthiases intestinales, non classées ailleurs
L04;lymphadénite aiguë
Y20;pendaison, strangulation et suffocation, intention non déterminée
Y98;facteurs liés au mode de vie
F44;troubles dissociatifs [de conversion]
L05;sinus pilonidal
Y21;noyade et submersion, intention non déterminée
Y97;facteurs liés à la pollution de l'environnement
F45;troubles somatoformes
L02;abcès cutané, furoncle et anthrax
A17;tuberculose du système nerveux
D30;tumeur bénigne des organes urinaires
L03;phlegmon
I28;autres maladies des vaisseaux pulmonaires
I77;autres atteintes des artères et artérioles
L08;autres infections localisées de la peau et du tissu cellulaire sous-cutané
V11;cycliste blessé dans une collision avec un autre cycle
F40;troubles anxieux phobiques
W78;inhalation du contenu de l'estomac
V10;cycliste blessé dans une collision avec un piéton ou un animal
Z08;examen de contrôle après traitement d'une tumeur maligne
V13;cycliste blessé dans une collision avec une automobile ou une camionnette
Y96;facteurs liés aux conditions de travail
F41;autres troubles anxieux
F42;trouble obsessionnel-compulsif
E02;hypothyroïdie par carence inapparente en iode
E00;syndrome d'insuffisance thyroïdienne congénitale
Y95;facteurs nosocomiaux
V12;cycliste blessé dans une collision avec un véhicule à moteur à deux ou trois roues
T64;effet toxique de l'aflatoxine et d'autres mycotoxines contaminant des aliments
Y90;preuves du rôle de l'alcool confirmé par le taux d'alcoolémie
T65;effet toxique de substances autres et non précisées
W30;contact avec du matériel agricole
V84;occupant d'un véhicule spécial utilisé essentiellement pour des travaux agricoles, blessé dans un accident de transport
Y91;preuves du rôle de l'alcool confirmé par le degré d'intoxication
Q04;autres malformations congénitales de l'encéphale
L00;syndrome d'épidermolyse staphylococcique du nourrisson
T60;effet toxique de pesticides
F52;dysfonctionnement sexuel, non dû à un trouble ou à une maladie organique
T61;effet toxique de substances nocives absorbées par le biais de fruits de mer
L01;impétigo
S82;fracture de la jambe, y compris la cheville
T62;effet toxique d'autres substances nocives absorbées par le biais d'aliments
G90;affections du système nerveux autonome
W25;contact avec du verre tranchant
T63;effet toxique d'un contact avec un animal venimeux
F78;autres formes de retard mental
A77;fièvre pourprée [rickettsioses à tiques]
