CODEACTE;CODEACTE_LABEL
LEPA009;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale avec arthrodèse, sans correction instrumentale, sur 1 à 3 vertèbres, par laparotomie ou par lombotomie
LFDA014;Arthrodèse intercorporéale d'un spondylolisthésis lombal à grand déplacement sans réduction, avec ostéosynthèse, par abord postérieur translombosacral
LHDA003;Ligamentoplastie interépineuse de la colonne vertébrale, par abord postérieur
LHCA010;Ostéosynthèse postérieure de la colonne vertébrale avec exploration du contenu canalaire, par abord postérieur
LFDA013;Arthrodèse d'un spondylolisthésis lombal sans réduction, par laparotomie
HBGD300;Avulsion d'une dent en désinclusion avec couronne sous muqueuse en position palatine ou linguale
HBGD312;Avulsion de 6 dents permanentes sur arcade avec alvéolectomie
LFDA003;Arthrodèse postérieure et/ou postérolatérale d'un spondylolisthésis lombal sans réduction, avec libération radiculaire, sans ostéosynthèse, par abord postérieur
LFMA001;Correction instrumentale d'une déformation souple de la colonne vertébrale avec arthrodèse de 3 à 5 vertèbres, par lombotomie
LFPA003;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale avec arthrodèse, sans correction instrumentale, sur 4 vertèbres ou plus, par laparotomie ou par lombotomie
LHCA001;Ostéosynthèse de la colonne vertébrale sans exploration du contenu canalaire, par abord antérieur et par abord postérieur
LHHA007;Biopsie du corps vertébral et/ou du disque intervertébral, par abord postérieur ou transpédiculaire
LFCA003;Ostéosynthèse de la colonne vertébrale avec exploration du contenu canalaire, par laparotomie ou lombotomie et par abord postérieur
LLMC001;Cure d'une hernie rétrocostoxiphoïdienne, par coelioscopie
LHMH002;Spondyloplastie d'1 vertèbre, par voie transcutanée avec guidage radiologique
LFPA001;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale, avec arthrodèse et correction instrumentale, sur 1 à 3 vertèbres, par laparotomie ou par lombotomie
JJPE001;Interruption unilatérale ou bilatérale de la perméabilité des trompes utérines par insertion de dispositif intratubaire, par hystéroscopie
JKND003;Destruction de lésion du col de l'utérus par colposcopie, avec laser
JKHD002;Prélèvement et examen de la glaire cervicale, sans examen de la mobilité des spermatozoïdes
JHAA001;Allongement du pénis avec urétroplastie, pour épispadias
JHQA001;Exploration du contenu scrotal, par abord inguinal
JHEA010;Détorsion du cordon spermatique avec orchidopexie unilatérale ou bilatérale, par abord direct
JHFA001;Exérèse d'un kyste du cordon spermatique chez l'adulte, par abord inguinal
JHMA003;Reconstruction du prépuce du pénis
JHKA003;Changement d'une prothèse pénienne hydraulique sans composant extracaverneux
JHCA001;Anastomose spongiocaverneuse, par abord direct
LAGA008;Évidement pétromastoïdien
LAFA011;Exérèse de tumeur de la voûte du crâne sans cranioplastie
KDFA001;Parathyroïdectomie totale avec réimplantation immédiate de parathyroïde
JFFA016;Pelvectomie antérieure avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie
JFFA006;Exérèse de lésion de l'espace rétropéritonéal sans dissection des gros vaisseaux, par thoraco-phréno-laparotomie
JEMA010;Plastie de l'urètre antérieur par lambeau libre
JESA001;Fermeture de fistule urétro-prostato-rectale, par abord périnéal
JELD001;Injection sousmuqueuse périurétrocervicale de matériel hétérologue par voie transvaginale, avec guidage endoscopique
JGFA005;Adénomectomie transvésicale de la prostate, par laparotomie
JFFA004;Pelvectomie postérieure sans rétablissement de la continuité digestive, par laparotomie et par abord périnéal
JFFA012;Exérèse de lésion endométriosique de la cloison rectovaginale, par abord vaginal
JEMA015;Reconstruction de l'urètre antérieur après mise à plat
LBPA025;Ostéotomie de la mandibule pour cal vicieux, par abord direct
LBMA001;Reconstruction de l'articulation temporomandibulaire par prothèse
LBFA027;Résection interruptrice extracondylaire segmentaire latérale de la mandibule par abord direct, avec pose de dispositif intrafocal de contention, sans comblement
LBLD012;Pose de dispositif intrabuccal d'expansion tissulaire pour rehaussement de crête alvéolaire
LBPA032;Ostéotomie sagittale intermaxillaire sans pose d'un disjoncteur fixe, par abord intrabuccal
LBPA035;Ostéotomie maxillaire type Le Fort I segmentée en 2 fragments, par abord intrabuccal
LBPA017;Ostéotomie maxillaire d'élévation sans mobilisation du palais, par abord intrabuccal
MAFA002;Résection de moins d'un tiers de la clavicule
LBLD006;Pose de gouttières maxillaire et mandibulaire pour hémostase ou portetopique
LBPA027;Ostéotomie maxillaire totale basse préimplantaire ou préprothétique avec interposition, par abord intrabuccal
LHFA013;Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale avec arthrodèse, correction instrumentale et ostéotomie antérieure transpédiculaire, sur 6 à 9 vertèbres, par abord postérieur
LHDA001;Arthrodèse postérieure ou épiphysiodèse de la colonne vertébrale sans exploration du contenu canalaire, par abord postérieur
LHEP003;Réduction orthopédique extemporanée de lésion traumatique de la colonne vertébrale par manoeuvres externes
LHFA025;Arthrectomie totale bilatérale et/ou ostéotomie postérieure pour déformation rigide de la colonne vertébrale avec arthrodèse, correction instrumentale et ostéotomie antérieure transpédiculaire, sur 10 vertèbres ou plus, par abord postérieur
LLFA003;Exérèse partielle du diaphragme sans pose de prothèse, par thoracotomie
LDCA004;Ostéosynthèse de la dent de l'axis [apophyse odontoïde de C2], par cervicotomie antérieure ou antérolatérale
LFAA001;Recalibrage unilatéral de la colonne vertébrale lombale ou lombosacrale, par abord postérieur
LGFA006;Exérèse proximale du sacrum [Sacrectomie S1 et/ou S2], par abord antérieur et par abord postérieur
LHHH002;Biopsie osseuse et/ou discale de la colonne vertébrale, par voie transcutanée avec guidage scanographique
LEPA006;Ostéotomie antérieure ou discectomie totale pour déformation rigide de la colonne vertébrale avec arthrodèse, sans correction instrumentale, sur 4 vertèbres ou plus, par thoracotomie
LEQK001;Radiographie du segment thoracique de la colonne vertébrale
LGFA004;Exérèse totale du sacrum [Sacrectomie totale], par abord antérieur et par abord postérieur
MEFA004;Huméroscapulectomie [Arthrectomie monobloc de l'épaule]
MELA001;Repose d'une prothèse de l'articulation scapulohumérale
MDCB001;Ostéosynthèse préventive d'un métacarpien pour lésion ostéolytique, à foyer fermé
MFMA001;Reconstruction osseuse du coude avec arthrodèse, après résection segmentaire
MFGA001;Ablation d'une prothèse totale du coude
MEFC001;Résection du bourrelet glénoïdal scapulohuméral, par arthroscopie
HBGD465;Avulsion de 6 racines incluses
MDCA002;Ostéosynthèse préventive d'un métacarpien pour lésion ostéolytique, à foyer ouvert
MDPA004;Ostéotomie d'un os de la main, avec libération de tendon et/ou libération mobilisatrice articulaire
MEPA001;Libération mobilisatrice de l'articulation scapulohumérale et/ou subacromiale, par arthrotomie
MDCB003;Ostéosynthèse de fracture extraarticulaire d'un os de la main par broche, à foyer fermé
MEQH001;Arthrographie de l'épaule
MDCA010;Ostéosynthèse de fracture extraarticulaire d'un os de la main par fixateur externe
MDGA003;Évidement d'un os de la main sans comblement, par abord direct
NFKA005;Changement d'une prothèse unicompartimentaire du genou pour une prothèse tricompartimentaire
NEQK012;Radiographie de l'articulation coxofémorale selon 4 incidences ou plus
NFDA002;Arthrodèse fémorotibiale, par arthrotomie
NFKA009;Remplacement de l'articulation du genou par prothèse à charnière fixe ou rotatoire
LBPA038;Ostéotomie maxillonasale type Le Fort II, par abord direct
LBPA043;Ostéotomie sagittale intermaxillaire avec pose d'un disjoncteur fixe, par abord intrabuccal
LBPA040;Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire d'avancée type Le Fort I non segmentée et ostéotomie de transposition du menton osseux, par abord intrabuccal
LBLD016;Pose d'un appareillage obturateur pour perte de substance maxillaire, chez un patient denté
LBFA039;Résection interruptrice latéroterminale de la mandibule par abord direct, avec comblement par autogreffe chondrocostale
LBPA023;Ostéotomie sagittale bilatérale du ramus de la mandibule [supralingulaire et préangulaire], avec ostéotomie maxillaire type Le Fort I segmentée en 2 fragments, par abord intrabuccal
LAQK009;Scanographie de la face avec scanographie des tissus mous du cou
LBCA009;Ostéosynthèse et/ou suspension faciale pour fracture occlusofaciale de type Le Fort II, par abord direct
LBCB002;Ostéosynthèse de fracture extracondylaire unifocale de la mandibule, à foyer fermé
LBCA002;Ostéosynthèse de fracture extracondylaire plurifocale de la mandibule, à foyer ouvert
LAMA009;Cranioplastie de la voûte
LAPA004;Ostéotomie du complexe naso-ethmoïdo-maxillo-fronto-orbitaire pour cal vicieux, par abord facial et par abord coronal
LBFA014;Exérèse d'une hémivoûte palatine, par abord direct
LBEA001;Réduction d'une luxation temporomandibulaire, par abord direct
LAPB001;Dégagement et activation de 4 implants intraosseux intrabuccaux, chez l'adulte
LBEP009;Réduction orthopédique de disjonction intermaxillaire ou de fracture du palais, avec contention par appareillage personnalisé
LHPA010;Laminotomie vertébrale avec exploration du contenu intradural sans plastie de la dure-mère, par abord postérieur ou par abord postérolatéral
LBEP005;Réduction orthopédique d'une luxation temporomandibulaire unilatérale ou bilatérale
LAPA014;Ostéotomie craniofaciale extracrânienne type Le Fort III avec bipartition faciale, par abord intrabuccal et par abord coronal
HBLD634;Pose d'une couronne dentaire dentoportée céramométallique sur une incisive, une canine ou une première prémolaire
LAPA009;Ostéotomie craniofaciale extracrânienne type Le Fort III, par abord intrabuccal et par abord coronal
LBFA005;Maxillectomie totale sans reconstruction
LAQK002;Scanographie unilatérale ou bilatérale de la partie pétreuse de l'os temporal [rocher] et de l'oreille moyenne
LBDD001;Blocage maxillomandibulaire avec ablation de matériel d'ostéosynthèse, pour traitement de pseudarthrose mandibulaire
LAMA001;Reconstruction du tiers latéral du massif facial pour syndrome malformatif, par abord facial et par abord coronal
LALA001;Pose de plusieurs implants intraosseux crâniens et/ou faciaux pour fixation d'épithèse
MZHH003;Biopsie d'un os et/ou d'une articulation du membre supérieur, par voie transcutanée avec guidage radiologique
NBCA005;Ostéosynthèse de fracture intracapsulaire du col [transcervicale] du fémur, de décollement épiphysaire ou d'épiphysiolyse de l'extrémité proximale du fémur
NBGA004;Évidement de l'extrémité distale du fémur et/ou de l'extrémité proximale du tibia en présence d'un cartilage épiphysaire actif sans comblement, par abord direct
NEKA017;Remplacement de l'articulation coxofémorale par prothèse totale, avec abaissement de la tête du fémur dans le paléoacétabulum [paléocotyle]
MFEB001;Réduction orthopédique d'une luxation du coude et/ou de l'articulation radio-ulnaire proximale, avec ostéosynthèse de fracture de l'extrémité proximale du radius ou de l'ulna à foyer fermé
MDEP001;Réduction orthopédique de fractures de plusieurs os de la main
MFKA001;Changement partiel ou total d'une prothèse articulaire du coude
NEGA002;Ablation d'une prothèse totale de hanche
NEGA005;Ablation d'une prothèse fémorale cervicocéphalique
NFMA005;Capsulo-myo-ténoplastie du genou pour recentrage de la patelle, par arthrotomie
NFCC001;Suture ou réinsertion du ligament croisé postérieur du genou, par arthroscopie
NEKA019;Remplacement de l'articulation coxofémorale par prothèse totale après arthrodèse coxofémorale, avec renfort métallique acétabulaire
NEQH002;Arthrographie de la hanche
NFJC001;Nettoyage de l'articulation du genou, par arthroscopie
NEPA001;Libération mobilisatrice de l'articulation coxofémorale, par arthrotomie
NEGA003;Ablation d'une prothèse totale de hanche avec coaptation trochantéro-iliaque
NFPA001;Libération mobilisatrice de l'articulation du genou, par arthrotomie
NEQK035;Radiographie de l'articulation coxofémorale selon 3 incidences
NDGA003;Ablation de matériel d'ostéosynthèse du pied, à foyer ouvert
NDDC001;Fixation de fragment ostéochondral de la trochlée du talus, par arthroscopie
NDPA011;Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil
NDCA002;Ostéosynthèse de fracture d'un métatarsien ou d'une phalange d'orteil, à foyer ouvert
NEFA002;Résection étendue de l'articulation sacro-iliaque
NEFA001;Résection de l'articulation coxofémorale avec coaptation trochantéro-iliaque ou fémoro-iliaque
HBGD316;Avulsion de 3 premières ou deuxièmes molaires permanentes retenues ou à l'état de germe
NDAA002;Allongement osseux progressif au pied, par système externe
NDCB003;Ostéosynthèse de fracture d'un métatarsien ou d'une phalange d'orteil, à foyer fermé
NCPA016;Ostéotomie complexe de la diaphyse du tibia
NJFA008;Exérèse d'un hygroma du genou, par abord direct
NJMA004;Reconstruction du rétinaculum des muscles fibulaires [gaine des tendons péroniers] par plastie capsuloligamentaire, périostée et/ou osseuse
NGQK002;Radiographie de la cheville selon 4 incidences ou plus
NGPA002;Libération mobilisatrice de l'articulation tibiotalienne et/ou synovectomie tibiotalienne, par arthrotomie
NJFA005;Ténosynovectomie de plusieurs tendons de l'arrière-pied
NZQK006;Radiographie de 3 segments du membre inférieur ou plus
NJPA025;Section ou allongement d'un tendon de muscle extenseur ou de muscle fléchisseur des orteils à l'avant-pied
NBMA003;Reconstruction du fémur par greffe ou matériau inerte non prothétique, après résection partielle d'une extrémité et/ou de la diaphyse
NAPA004;Ostéotomie supraacétabulaire de l'os coxal par une section
NBCA002;Ostéosynthèse de fracture simple de la patelle, à foyer ouvert
NCCA011;Ostéosynthèse de fracture ou de décollement épiphysaire supramalléolaire du tibia, à foyer ouvert
NBCA007;Ostéosynthèse de fracture de la diaphyse du fémur, à foyer ouvert
NACB001;Ostéosynthèse de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer fermé
NBPA019;Ostéotomie intraarticulaire du col du fémur
NBPA012;Ostéotomie simple bilatérale de la diaphyse du fémur, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux du pied
NBPA015;Ostéotomie simple unilatérale de la diaphyse du fémur et du tibia, avec arthrodèse du couple de torsion du pied [talocalcanéenne et médiotarsienne] et correction de vices architecturaux
MJFA017;Résection des tissus mous de la main avec plastie cutanée, sans résection nerveuse, pour mégadactylie
MJPA006;Désinsertion du muscle subscapulaire sans transfert musculaire
MZMP011;Confection d'un appareil rigide d'immobilisation du membre supérieur prenant le coude
MJMA013;Reconstruction d'un tendon de la main par transplant libre, en un temps
MJGA001;Ablation de corps étranger de la coulisse bicipitale, par abord direct
MZHH004;Biopsie d'un os et/ou d'une articulation du membre supérieur, par voie transcutanée avec guidage scanographique
MZHA001;Biopsie d'un os et/ou d'une articulation du membre supérieur, par abord direct
MZHB001;Biopsie d'un os et/ou d'une articulation du membre supérieur, par voie transcutanée sans guidage
NCCA001;Ostéosynthèse de fracture ou de décollement épiphysaire de l'extrémité distale du tibia ou des 2 os de la jambe par fixateur externe
MGMA006;Reconstruction de l'articulation du poignet par prothèse massive ou sur mesure, après résection segmentaire
MHMA002;Arthroplastie d'une articulation métacarpophalangienne ou interphalangienne d'un doigt
NACA002;Ostéosynthèse plurifocale de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer ouvert
MZEA001;Réimplantation de 2 doigts
MJJA003;Évacuation de suppuration profonde de la main et/ou de l'avant-bras n'atteignant pas les gaines synoviales, par abord direct
NACA001;Ostéosynthèse unifocale de fracture ou de fracture-luxation de la ceinture pelvienne [du bassin], à foyer ouvert
MJFA003;Excision d'un panaris profond de la pulpe des doigts [phlegmon pulpaire]
MZFA002;Amputation transhumérale
MZEA012;Réimplantation de 3 doigts
MZFA006;Exérèse partielle d'un os du membre supérieur sans interruption de la continuité, par abord direct
MBEB001;Réduction orthopédique progressive de fracture d'une extrémité et/ou de la diaphyse de l'humérus par traction continue squelettique
MJCA007;Suture de plaies des 2 tendons des muscles fléchisseurs des doigts et des 2 nerfs digitaux palmaires, sur un rayon de la main
NZMP014;Confection d'un appareil rigide cruropédieux [jambopédieux] pour immobilisation initiale de fracture du membre inférieur, sans réduction
QZNP014;Destruction de plusieurs lésions cutanées, par cryode de contact [cryochirurgie]
NJPA008;Section, allongement ou transfert tendineux pour correction bilatérale d'attitude vicieuse de la hanche, du genou et du pied, avec arthrodèse du couple de torsion du pied et correction de vices architecturaux, par abord direct
NHDA004;Arthrodèse de la première articulation métatarsophalangienne, par arthrotomie
NGFA001;Résection "en bloc" de l'articulation de la cheville [Arthrectomie monobloc de la cheville]
NJEA002;Réinsertion et/ou suture du tendon du muscle quadriceps fémoral
NFQC001;Exploration de l'articulation du genou, par arthroscopie
NJFA006;Exérèse d'un fragment osseux supratrochantérien
NJEA011;Transfert tendineux et/ou ténodèse pour rétablissement de la flexion plantaire de la cheville
NFQP001;Bilan fonctionnel de l'articulation du genou, sous anesthésie générale ou locorégionale
JEQD001;Profilométrie urétrale
JFFC001;Exérèse de lésion endométriosique de la cloison rectovaginale, par coelioscopie
JEHD001;Frottis et/ou prélèvement urétral
JEKA007;Changement du manchon gonflable d'une prothèse sphinctérienne urinaire péricervicale ou périurétroprostatique chez l'homme, par laparotomie
JEFA002;Exérèse de diverticule de l'urètre, par abord direct
JELE001;Injection sousmuqueuse intra-urétrale de matériel hétérologue, par endoscopie
JEHE001;Biopsie de l'urètre à l'anse coupante, par endoscopie
JESA003;Fermeture de fistule cutanée de l'urètre
JEFE004;Résection de sténose de l'urètre à l'anse coupante, par endoscopie
JEKE001;Changement d'une endoprothèse de l'urètre, par endoscopie
JGFA006;Vésiculoprostatectomie totale, par laparotomie
HBGD466;Avulsion de 2 racines incluses
JFFA013;Pelvectomie totale avec urétérostomie cutanée transintestinale par anse détubulée continente, par laparotomie et par abord périnéal
JFFA015;Exérèse d'un tératome sacrococcygien, par laparotomie et par abord transsacrococcygien [de Kraske]
LACA019;Ostéosynthèse de fracture unilatérale de la paroi antérieure du sinus frontal à foyer ouvert, par abord facial
LAGA005;Ablation de matériel interne d'ostéosynthèse ou de distraction du massif facial sur 2 sites, par abord direct
LAEA008;Réduction de fracture de la partie tympanique de l'os temporal [os tympanal]
LAFA012;Résection modelante de l'étage moyen de la face, par abord intrabuccal
LACA009;Ostéosynthèse de fracture fronto-naso-maxillaire à foyer ouvert par abord facial, avec canthopexie
LACA008;Ostéosynthèse de fractures latérofaciales multiples à foyer ouvert, par abord coronal
KGQL003;Mesure radio-isotopique des compartiments biologiques
LACA012;Ostéosynthèse d'une embarrure de la voûte du crâne
MFPA002;Libération mobilisatrice de l'articulation du coude, par abord direct
MGDA001;Arthrodèse intracarpienne, par arthrotomie
MFMP001;Confection d'une attelle de posture ou de mobilisation du coude
MHDB001;Arthrorise temporaire d'une articulation métacarpophalangienne ou interphalangienne d'un doigt par broche, par voie transcutanée
MFQK001;Radiographie du coude selon 3 incidences ou plus
MJEA009;Transfert tendineux et/ou ténodèse pour rétablissement de la fermeture du pouce
MJCA010;Suture de plaies de tendon des muscles fléchisseurs des doigts, des 2 nerfs et d'une ou deux artères digitaux palmaires, sur un rayon de la main
MGFA001;Résection "en bloc" du poignet [Arthrectomie monobloc du poignet]
MHPA002;Libération mobilisatrice d'une articulation de la main, par abord direct
MFMA005;Arthroplastie du coude sans prothèse, par abord direct
MGMP001;Confection d'une attelle de posture ou de mobilisation du poignet et/ou de la main
QBFA010;Dermolipectomie abdominale sans transposition de l'ombilic, avec lipoaspiration de l'abdomen et fermeture de diastasis des muscles droits de l'abdomen
QCJA004;Pansement chirurgical secondaire de brûlure sur 1 main
QEEA001;Transposition du mamelon
QEFA012;Mastectomie totale élargie en surface, avec autogreffe cutanée
QANP006;Dermabrasion du visage sur moins de 5 cm²
QBJB001;Lipoaspiration de l'abdomen
QAMA002;Réparation de perte de substance de l'extrémité céphalique par lambeau local ou régional muqueux, cutané ou fasciocutané, à pédicule vasculonerveux non individualisé ou non individualisable [lambeau "au hasard"]
QEDA001;Mastopexie unilatérale, avec pose d'implant prothétique
QAMA003;Réparation de perte de substance de l'extrémité céphalique par lambeau frontal à pédicule inférieur
QEFA010;Mastectomie totale avec curages lymphonodaux axillaire et supraclaviculaire
QCJA003;Pansement chirurgical initial de brûlure sur 1 main
QCFA002;Excision de brûlure d'une main, sur moins de 1,25% de la surface corporelle
QBFA014;Excision d'une fasciite nécrosante périnéofessière
QEDA002;Mastopexie unilatérale, sans pose d'implant prothétique
QZNP029;Séance d'épilation cutanée sur moins de 50 cm², avec laser ou avec lampe flash
PCPB001;Fasciomyotomie pour décompression de loge d'un membre, par voie transcutanée
PAQL008;Scintigraphie osseuse segmentaire en plusieurs temps, sans acquisition complémentaire par un collimateur sténopé
PAPA001;Ostéotomies multiples d'alignement avec abord des deux extrémités de plusieurs os longs homolatéraux, par abord direct
QCEA002;Greffe cutanée pour brûlure des deux mains, sur moins de 1,25% de la surface corporelle
QAMA007;Lissage [Lifting] temporal bilatéral, par abord direct
QEFA014;Exérèse de mamelon surnuméraire
LBMA003;Reconstruction discale temporomandibulaire, par arthrotomie
LBPA008;Ostéotomie maxillaire segmentaire postérieure bilatérale, par abord intrabuccal
LBFA025;Coronoïdectomie mandibulaire, par abord intrabuccal
MCPA003;Ostéotomie de l'extrémité distale des 2 os de l'avant-bras
MCCB006;Ostéosynthèse préventive des 2 os de l'avant-bras pour lésion ostéolytique, à foyer fermé
MBCA010;Ostéosynthèse d'une fracture de l'épicondyle médial ou de l'épicondyle latéral de l'humérus, à foyer ouvert
MACA004;Ostéosynthèse de fracture de la clavicule par fixateur externe
LBPA015;Ostéotomie maxillaire type Le Fort I non segmentée avec recul ou déplacement vertical, par abord intrabuccal
LBPA001;Ostéotomie d'antépositionnement des épines mentonnières [apophyses geni] de la mandibule, par abord intrabuccal
LBPA003;Décortication de la mandibule, par abord intrabuccal
LBPA021;Ostéotomie sagittale unilatérale du ramus de la mandibule [supralingulaire et préangulaire], par abord intrabuccal
LBLD023;Pose d'un appareillage obturateur pour perte de substance maxillaire, chez un patient édenté total
LBGA005;Évidement de la mandibule, par abord intrabuccal
LAPB005;Dégagement et activation de 5 implants intraosseux intrabuccaux, chez l'adulte
LBFA011;Maxillectomie supérieure, avec reconstruction du plancher de l'orbite par lambeau de septum nasal
LAQK006;Analyse céphalométrique architecturale craniofacial
LAPA007;Ostéotomie du cadre de l'orbite pour dystopie posttraumatique, par abord facial et par abord coronal
LAMA010;Remodelage du rebord de l'orbite avec autogreffe osseuse, par abord direct
LAPA015;Mise à plat de lésion infectieuse postopératoire de la voûte du crâne [calvaria], par reprise de l'abord précédent
LBFA016;Résection d'un bloc d'ankylose temporomandibulaire complète avec reconstruction de l'articulation par prothèse, par abord direct
LAQK001;Téléradiographie du crâne et du massif facial selon 2 incidences
NBFA009;Patellectomie totale, par abord direct
NBGA002;Évidement du fémur sans comblement, par abord direct
NBCA008;Ostéosynthèse de fracture du grand trochanter
NAHA002;Biopsie de la corticale externe de l'os coxal, par abord direct
NBPA003;Ostéotomie simple unilatérale de la diaphyse du fémur
NBGA015;Désépiphysiodèse au fémur ou au tibia
NCEA001;Greffe osseuse intertibiofibulaire, par abord direct
NEFA003;Synovectomie coxofémorale, par arthrotomie par 2 abords dont un abord postérieur
NCPA009;Ostéotomie supramalléolaire du tibia
NCMA002;Reconstruction du tibia par greffe ou matériau inerte non prothétique, après résection partielle d'une extrémité et/ou de la diaphyse
MJPA014;Séparation d'une syndactylie des doigts à squelette normal avec autoplastie cutanée locale et/ou greffe de peau
ABJC900;Évacuation d'une hémorragie intraventriculaire cérébrale non traumatique, par vidéochirurgie
ABSA004;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par abord mastoïdoattical
ABJA002;Évacuation d'un hématome subdural aigu, par craniotomie
AAJH002;Évacuation d'hématome intracérébral non traumatique, par voie transcrânienne avec guidage scanographique
ABSA001;Fermeture d'une brèche ostéodurale de l'étage moyen de la base du crâne, par craniotomie
ABFA004;Exérèse et/ou fermeture de méningoencéphalocèle de la base du crâne, avec rapprochement orbitaire
ABFA005;Exérèse de lésion d'un ventricule latéral cérébral, par craniotomie
ABJA005;Évacuation d'un hématome extradural supratentoriel, par craniotomie
AALB001;Implantation d'électrode de stimulation intracérébrale à visée thérapeutique, par voie stéréotaxique
ABHB002;Ponction de liquide cérébrospinal ou de collection intracrânienne, par voie transfontanellaire
ACFA003;Exérèse de tumeur de la pointe du rocher, par abord translabyrinthique
AAFA003;Exérèse de lésion du tronc cérébral, par craniotomie
AAJA002;Évacuation d'hématome intracérébral traumatique [contusion], par craniotomie
ABSA003;Fermeture d'une brèche ostéodurale du sinus frontal, par abord coronal
ABSA007;Fermeture d'une brèche ostéodurale ou d'une méningocèle de l'étage antérieur de la base du crâne, par craniotomie
AAFA004;Hémisphérectomie fonctionnelle, par craniotomie
ABLB006;Séance d'administration intraventriculaire ou intrakystique cérébrale d'agent pharmacologique anticancéreux, par un dispositif implanté
AAQP011;Electroencéphalographie sur 8 dérivations ou plus avec enregistrement d'une durée minimale de 20 minutes, au lit du malade
ABFC002;Exérèse de lésion d'un ventricule latéral cérébral, par vidéochirurgie intracrânienne
ABFA003;Exérèse et/ou fermeture de méningoencéphalocèle de la voûte crânienne
AAQP008;Surveillance électroencéphalographique peropératoire sur au moins 8 dérivations, pendant 4 heures ou plus
ABFA009;Exérèse de tumeur de l'incisure de la tente, par craniotomie sustentorielle
AAQN901;Remnographie [IRM] fonctionnelle du cerveau pour étude des fonctions phasiques
AAFA008;Résection de parenchyme cérébelleux pour infarctus expansif, par craniotomie
ACFA018;Exérèse de tumeur extraparenchymateuse de la convexité du cervelet envahissant un sinus veineux dural, par craniotomie
ADFA002;Exérèse de lésion extracrânienne d'un nerf crânien avec réparation immédiate par autogreffe
ADPC004;Vagotomie tronculaire, par thoracoscopie
ACQL008;Tomoscintigraphie de perfusion cérébrale après épreuve pharmacodynamique
ADQP003;Électrooculographie motrice [EOG motrice]
ADLH003;Infiltration anesthésique du nerf glossopharyngien avec évaluation diagnostique et pronostique, avec guidage radiologique
ADPA012;Section du nerf ampullaire postérieur
HMNE001;Lithotritie mécanique des conduits biliaires, par oeso-gastro-duodénoscopie
HMQJ002;Échoendoscopie biliopancréatique avec biopsie transbiliopancréatique guidée
HMQH001;Cholangioscopie, par voie buccale
