GHM;GHM_LABEL
24C02Z;Affections de la CMD 01 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 01
25C02Z;Interventions pour maladie due au VIH
26C02Z;Interventions pour traumatismes multiples graves, sans CMAS
27C02Z;Transplantations hépatiques
02C021;Interventions sur la rétine, niveau 1
04C021;Interventions majeures sur le thorax, niveau 1
05C021;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie, niveau 1
06C021;Chirurgie majeure des malformations digestives, niveau 1
08C021;Interventions majeures multiples sur les genoux et/ou les hanches, niveau 1
09C021;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite, niveau 1
10C021;Interventions sur lhypophyse, niveau 1
11C021;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, niveau 1
16C021;Interventions sur la rate, niveau 1
17C021;Interventions majeures au cours de lymphomes ou de leucémies, niveau 1
18C021;Interventions pour maladies infectieuses ou parasitaires, niveau 1
19C021;Interventions chirurgicales avec un diagnostic principal de maladie mentale, niveau 1
21C021;Greffes de peau pour lésions autres que des brûlures, niveau 1
22C021;Brûlures non étendues avec greffe cutanée, niveau 1
23C021;Interventions chirurgicales avec autres motifs de recours aux services de santé, niveau 1
25C021;Interventions pour maladie due au VIH, niveau 1
26C021;Interventions pour traumatismes multiples graves, niveau 1
27C021;Transplantations hépatiques, niveau 1
02C022;Interventions sur la rétine, niveau 2
04C022;Interventions majeures sur le thorax, niveau 2
05C022;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie, niveau 2
06C022;Chirurgie majeure des malformations digestives, niveau 2
08C022;Interventions majeures multiples sur les genoux et/ou les hanches, niveau 2
09C022;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite, niveau 2
10C022;Interventions sur lhypophyse, niveau 2
11C022;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, niveau 2
16C022;Interventions sur la rate, niveau 2
17C022;Interventions majeures au cours de lymphomes ou de leucémies, niveau 2
18C022;Interventions pour maladies infectieuses ou parasitaires, niveau 2
19C022;Interventions chirurgicales avec un diagnostic principal de maladie mentale, niveau 2
21C022;Greffes de peau pour lésions autres que des brûlures, niveau 2
22C022;Brûlures non étendues avec greffe cutanée, niveau 2
23C022;Interventions chirurgicales avec autres motifs de recours aux services de santé, niveau 2
25C022;Interventions pour maladie due au VIH, niveau 2
26C022;Interventions pour traumatismes multiples graves, niveau 2
27C022;Transplantations hépatiques, niveau 2
02C023;Interventions sur la rétine, niveau 3
04C023;Interventions majeures sur le thorax, niveau 3
05C023;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie, niveau 3
06C023;Chirurgie majeure des malformations digestives, niveau 3
08C023;Interventions majeures multiples sur les genoux et/ou les hanches, niveau 3
09C023;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite, niveau 3
10C023;Interventions sur lhypophyse, niveau 3
11C023;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, niveau 3
16C023;Interventions sur la rate, niveau 3
17C023;Interventions majeures au cours de lymphomes ou de leucémies, niveau 3
18C023;Interventions pour maladies infectieuses ou parasitaires, niveau 3
19C023;Interventions chirurgicales avec un diagnostic principal de maladie mentale, niveau 3
21C023;Greffes de peau pour lésions autres que des brûlures, niveau 3
22C023;Brûlures non étendues avec greffe cutanée, niveau 3
23C023;Interventions chirurgicales avec autres motifs de recours aux services de santé, niveau 3
25C023;Interventions pour maladie due au VIH, niveau 3
26C023;Interventions pour traumatismes multiples graves, niveau 3
27C023;Transplantations hépatiques, niveau 3
02C024;Interventions sur la rétine, niveau 4
04C024;Interventions majeures sur le thorax, niveau 4
05C024;Chirurgie de remplacement valvulaire avec circulation extracorporelle et avec cathétérisme cardiaque ou coronarographie, niveau 4
06C024;Chirurgie majeure des malformations digestives, niveau 4
08C024;Interventions majeures multiples sur les genoux et/ou les hanches, niveau 4
09C024;Greffes de peau et/ou parages de plaie pour ulcère cutané ou cellulite, niveau 4
10C024;Interventions sur lhypophyse, niveau 4
11C024;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection tumorale, niveau 4
16C024;Interventions sur la rate, niveau 4
17C024;Interventions majeures au cours de lymphomes ou de leucémies, niveau 4
18C024;Interventions pour maladies infectieuses ou parasitaires, niveau 4
19C024;Interventions chirurgicales avec un diagnostic principal de maladie mentale, niveau 4
21C024;Greffes de peau pour lésions autres que des brûlures, niveau 4
22C024;Brûlures non étendues avec greffe cutanée, niveau 4
23C024;Interventions chirurgicales avec autres motifs de recours aux services de santé, niveau 4
25C024;Interventions pour maladie due au VIH, niveau 4
26C024;Interventions pour traumatismes multiples graves, niveau 4
27C024;Transplantations hépatiques, niveau 4
14C03A;Accouchements uniques par voie basse avec autres interventions, sans complication significative
15C03A;Interventions majeures sur l'appareil cardiovasculaire, groupes nouveau-nés 1 à 7, sans complication significative
14C03B;Accouchements uniques par voie basse avec autres interventions, avec autres complications
15C03B;Interventions majeures sur l'appareil cardiovasculaire, groupes nouveau-nés 1 à 7, avec complications
14C03C;Accouchements uniques par voie basse avec autres interventions, avec complications majeures
14C03D;Accouchements uniques par voie basse avec autres interventions, avec complications sévères
02C03J;Interventions sur l'orbite, en ambulatoire
09C03J;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, en ambulatoire
12C03J;Interventions sur le pénis, en ambulatoire
16C03J;Autres interventions pour affections du sang et des organes hématopoïétiques, en ambulatoire
17C03J;Autres interventions au cours de lymphomes ou de leucémies, en ambulatoire
21C03J;Parages de plaies pour lésions autres que des brûlures, en ambulatoire
01C03V;Craniotomies pour traumatisme, âge supérieur à 17 ans sans CMA
04C03V;Autres interventions chirurgicales sur le système respiratoire sans CMA
05C03V;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, sans CMA
06C03V;Résections rectales sans CMA
07C03V;Cholécystectomies avec exploration de la voie biliaire principale sans CMA
08C03V;Interventions majeures sur les articulations et greffes de membres sans CMA
09C03V;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites sans CMA
11C03V;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, sans CMA
13C03V;Hystérectomies, âge inférieur à 70 ans sans CMA
16C03V;Autres interventions pour affections du sang et des organes hématopoïétiques sans CMA
17C03V;Autres interventions au cours de lymphomes ou de leucémies sans CMA
01C03W;Craniotomies pour traumatisme, âge supérieur à 17 ans avec CMA
04C03W;Autres interventions chirurgicales sur le système respiratoire avec CMA
05C03W;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, avec CMA
06C03W;Résections rectales avec CMA
07C03W;Cholécystectomies avec exploration de la voie biliaire principale avec CMA
08C03W;Interventions majeures sur les articulations et greffes de membres avec CMA
09C03W;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites avec CMA
11C03W;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, avec CMA
13C03W;Hystérectomies, âge supérieur à 69 ans et/ou CMA
16C03W;Autres interventions pour affections du sang et des organes hématopoïétiques avec CMA
17C03W;Autres interventions au cours de lymphomes ou de leucémies avec CMA
02C03Z;Interventions sur l'orbite
03C03Z;Exérèses de glandes salivaires
10C03Z;Interventions sur les surrénales
12C03Z;Interventions sur le pénis
14C03Z;Accouchements par voie basse avec autres interventions
21C03Z;Parages de plaies pour lésions autres que des brûlures
22C03Z;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales
24C03Z;Interventions sur le cristallin : séjours de moins de 2 jours
27C03Z;Transplantations pancréatiques
01C031;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 1
02C031;Interventions sur l'orbite, niveau 1
04C031;Autres interventions chirurgicales sur le système respiratoire, niveau 1
05C031;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, niveau 1
06C031;Résections rectales, niveau 1
09C031;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 1
10C031;Interventions sur les glandes surrénales, niveau 1
11C031;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, niveau 1
12C031;Interventions sur le pénis, niveau 1
13C031;Hystérectomies, niveau 1
16C031;Autres interventions pour affections du sang et des organes hématopoïétiques, niveau 1
17C031;Autres interventions au cours de lymphomes ou de leucémies, niveau 1
21C031;Parages de plaies pour lésions autres que des brûlures, niveau 1
22C031;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales, niveau 1
27C031;Transplantations pancréatiques, niveau 1
01C032;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 2
02C032;Interventions sur l'orbite, niveau 2
04C032;Autres interventions chirurgicales sur le système respiratoire, niveau 2
05C032;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, niveau 2
06C032;Résections rectales, niveau 2
09C032;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 2
10C032;Interventions sur les glandes surrénales, niveau 2
11C032;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, niveau 2
12C032;Interventions sur le pénis, niveau 2
13C032;Hystérectomies, niveau 2
16C032;Autres interventions pour affections du sang et des organes hématopoïétiques, niveau 2
17C032;Autres interventions au cours de lymphomes ou de leucémies, niveau 2
21C032;Parages de plaies pour lésions autres que des brûlures, niveau 2
22C032;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales, niveau 2
27C032;Transplantations pancréatiques, niveau 2
01C033;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 3
02C033;Interventions sur l'orbite, niveau 3
04C033;Autres interventions chirurgicales sur le système respiratoire, niveau 3
05C033;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, niveau 3
06C033;Résections rectales, niveau 3
09C033;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 3
10C033;Interventions sur les glandes surrénales, niveau 3
11C033;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, niveau 3
12C033;Interventions sur le pénis, niveau 3
13C033;Hystérectomies, niveau 3
16C033;Autres interventions pour affections du sang et des organes hématopoïétiques, niveau 3
17C033;Autres interventions au cours de lymphomes ou de leucémies, niveau 3
21C033;Parages de plaies pour lésions autres que des brûlures, niveau 3
22C033;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales, niveau 3
27C033;Transplantations pancréatiques, niveau 3
01C034;Craniotomies pour traumatisme, âge supérieur à 17 ans, niveau 4
02C034;Interventions sur l'orbite, niveau 4
04C034;Autres interventions chirurgicales sur le système respiratoire, niveau 4
05C034;Chirurgie de remplacement valvulaire avec circulation extracorporelle, sans cathétérisme cardiaque, ni coronarographie, niveau 4
06C034;Résections rectales, niveau 4
09C034;Greffes de peau et/ou parages de plaie à l'exception des ulcères cutanés et cellulites, niveau 4
10C034;Interventions sur les glandes surrénales, niveau 4
11C034;Interventions sur les reins et les uretères et chirurgie majeure de la vessie pour une affection non tumorale, niveau 4
12C034;Interventions sur le pénis, niveau 4
13C034;Hystérectomies, niveau 4
16C034;Autres interventions pour affections du sang et des organes hématopoïétiques, niveau 4
17C034;Autres interventions au cours de lymphomes ou de leucémies, niveau 4
21C034;Parages de plaies pour lésions autres que des brûlures, niveau 4
22C034;Brûlures non étendues avec parages de plaie ou autres interventions chirurgicales, niveau 4
27C034;Transplantations pancréatiques, niveau 4
15C04A;Autres interventions chirurgicales, groupes nouveau-nés 1 à 7, sans complication significative
15C04B;Autres interventions chirurgicales, groupes nouveau-nés 1 à 7, avec complications
11C04J;Autres interventions sur la vessie à l'exception des interventions transurétrales, en ambulatoire
12C04J;Prostatectomies transurétrales, en ambulatoire
13C04J;Interventions réparatrices sur l'appareil génital féminin, en ambulatoire
21C04J;Interventions sur la main ou le poignet à la suite de blessures, en ambulatoire
14C04T;Affections du post-partum ou du post abortum avec intervention chirurgicale, très courte durée
01C04V;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans sans CMA
05C04V;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie sans CMA
06C04V;Interventions majeures sur l'intestin grêle et le côlon sans CMA
07C04V;Cholécystectomies sans exploration de la voie biliaire principale sans CMA
09C04V;Mastectomies totales pour tumeur maligne sans CMA
12C04V;Prostatectomies transurétrales sans CMA
13C04V;Interventions réparatrices sur l'appareil génital féminin, âge inférieur à 70 ans sans CMA
17C04V;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, sans CMA
01C04W;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans avec CMA
05C04W;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie avec CMA
06C04W;Interventions majeures sur l'intestin grêle et le côlon avec CMA
07C04W;Cholécystectomies sans exploration de la voie biliaire principale avec CMA
09C04W;Mastectomies totales pour tumeur maligne avec CMA
12C04W;Prostatectomies transurétrales avec CMA
13C04W;Interventions réparatrices sur l'appareil génital féminin, âge supérieur à 69 ans et/ou CMA
17C04W;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, avec CMA
02C04Z;Autres interventions intraoculaires
03C04Z;Interventions sur les glandes salivaires autres que les exérèses
08C04Z;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge inférieur à 18 ans
10C04Z;Interventions pour obésité
11C04Z;Autres interventions sur la vessie à l'exception des interventions transurétrales
14C04Z;Affections du post-partum ou du post abortum avec intervention chirurgicale
21C04Z;Interventions sur la main ou le poignet à la suite de blessures
24C04Z;Affections de la CMD 02 : séjours de moins de 2 jours, avec autre acte opératoire de la CMD 02
27C04Z;Transplantations pulmonaires
01C041;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 1
04C041;Interventions sous thoracoscopie, niveau 1
05C041;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie, niveau 1
06C041;Interventions majeures sur l'intestin grêle et le côlon, niveau 1
08C041;Interventions sur la hanche et le fémur, âge inférieur à 18 ans, niveau 1
09C041;Mastectomies totales pour tumeur maligne, niveau 1
11C041;Autres interventions sur la vessie à l'exception des interventions transurétrales, niveau 1
12C041;Prostatectomies transurétrales, niveau 1
13C041;Interventions réparatrices sur l'appareil génital féminin, niveau 1
17C041;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, niveau 1
21C041;Interventions sur la main ou le poignet à la suite de blessures, niveau 1
27C041;Transplantations pulmonaires, niveau 1
01C042;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 2
04C042;Interventions sous thoracoscopie, niveau 2
05C042;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie, niveau 2
06C042;Interventions majeures sur l'intestin grêle et le côlon, niveau 2
08C042;Interventions sur la hanche et le fémur, âge inférieur à 18 ans, niveau 2
09C042;Mastectomies totales pour tumeur maligne, niveau 2
11C042;Autres interventions sur la vessie à l'exception des interventions transurétrales, niveau 2
12C042;Prostatectomies transurétrales, niveau 2
13C042;Interventions réparatrices sur l'appareil génital féminin, niveau 2
17C042;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, niveau 2
21C042;Interventions sur la main ou le poignet à la suite de blessures, niveau 2
27C042;Transplantations pulmonaires, niveau 2
01C043;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 3
04C043;Interventions sous thoracoscopie, niveau 3
05C043;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie, niveau 3
06C043;Interventions majeures sur l'intestin grêle et le côlon, niveau 3
08C043;Interventions sur la hanche et le fémur, âge inférieur à 18 ans, niveau 3
09C043;Mastectomies totales pour tumeur maligne, niveau 3
11C043;Autres interventions sur la vessie à l'exception des interventions transurétrales, niveau 3
12C043;Prostatectomies transurétrales, niveau 3
13C043;Interventions réparatrices sur l'appareil génital féminin, niveau 3
17C043;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, niveau 3
21C043;Interventions sur la main ou le poignet à la suite de blessures, niveau 3
27C043;Transplantations pulmonaires, niveau 3
01C044;Craniotomies en dehors de tout traumatisme, âge supérieur à 17 ans, niveau 4
04C044;Interventions sous thoracoscopie, niveau 4
05C044;Pontages aortocoronariens avec cathétérisme cardiaque ou coronarographie, niveau 4
06C044;Interventions majeures sur l'intestin grêle et le côlon, niveau 4
08C044;Interventions sur la hanche et le fémur, âge inférieur à 18 ans, niveau 4
09C044;Mastectomies totales pour tumeur maligne, niveau 4
11C044;Autres interventions sur la vessie à l'exception des interventions transurétrales, niveau 4
12C044;Prostatectomies transurétrales, niveau 4
13C044;Interventions réparatrices sur l'appareil génital féminin, niveau 4
17C044;Interventions majeures pour affections myéloprolifératives ou tumeurs de siège imprécis ou diffus, niveau 4
21C044;Interventions sur la main ou le poignet à la suite de blessures, niveau 4
27C044;Transplantations pulmonaires, niveau 4
15C05A;Interventions chirurgicales, groupes nouveau-nés 8 à 9, sans complication significative
15C05B;Interventions chirurgicales, groupes nouveau-nés 8 à 9, avec complications
02C05J;Interventions sur le cristallin avec ou sans vitrectomie, en ambulatoire
09C05J;Mastectomies subtotales pour tumeur maligne, en ambulatoire
11C05J;Interventions transurétrales ou par voie transcutanée, en ambulatoire
14C05J;Avortements avec aspiration ou curetage ou hystérotomie, en ambulatoire
17C05J;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus, en ambulatoire
21C05J;Autres interventions pour blessures ou complications d'acte, en ambulatoire
03C05T;Réparations de fissures labiale et palatine, très courte durée
01C05V;Interventions sur le rachis et la moelle pour des affections neurologiques sans CMA
05C05V;Pontages aortocoronariens sans cathétérisme cardiaque ni coronarographie sans CMA
07C05V;Interventions sur les voies biliaires, autres que les cholécystectomies sans CMA
08C05V;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge supérieur à 17 ans sans CMA
09C05V;Mastectomies subtotales pour tumeur maligne sans CMA
11C05V;Interventions transurétrales ou par voie transcutanée sans CMA
17C05V;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus sans CMA
21C05V;Autres interventions pour blessures ou complications d'acte sans CMA
01C05W;Interventions sur le rachis et la moelle pour des affections neurologiques avec CMA
05C05W;Pontages aortocoronariens sans cathétérisme cardiaque ni coronarographie avec CMA
07C05W;Interventions sur les voies biliaires, autres que les cholécystectomies avec CMA
08C05W;Interventions sur la hanche et le fémur, autres que les interventions majeures, âge supérieur à 17 ans avec CMA
09C05W;Mastectomies subtotales pour tumeur maligne avec CMA
11C05W;Interventions transurétrales ou par voie transcutanée avec CMA
17C05W;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus avec CMA
21C05W;Autres interventions pour blessures ou complications d'acte avec CMA
02C05Z;Interventions sur le cristallin avec ou sans vitrectomie
03C05Z;Réparations de fissures labiale et palatine
06C05Z;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans
10C05Z;Interventions sur les parathyroïdes
12C05Z;Interventions sur les testicules pour des tumeurs malignes
13C05Z;Interventions sur le système utéroannexiel pour des tumeurs malignes
14C05Z;Avortements avec aspiration ou curetage ou hystérotomie
24C05Z;Amygdalectomies et/ou adénoïdectomies : séjours de moins de 2 jours
27C05Z;Transplantations cardiaques
01C051;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 1
02C051;Interventions sur le cristallin avec ou sans vitrectomie, niveau 1
03C051;Réparations de fissures labiale et palatine, niveau 1
05C051;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie, niveau 1
06C051;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans, niveau 1
09C051;Mastectomies subtotales pour tumeur maligne, niveau 1
10C051;Interventions sur les parathyroïdes, niveau 1
11C051;Interventions transurétrales ou par voie transcutanée, niveau 1
12C051;Interventions sur les testicules pour tumeurs malignes, niveau 1
13C051;Interventions sur le système utéroannexiel pour tumeurs malignes, niveau 1
17C051;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus, niveau 1
21C051;Autres interventions pour blessures ou complications d'acte, niveau 1
27C051;Transplantations cardiaques, niveau 1
01C052;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 2
02C052;Interventions sur le cristallin avec ou sans vitrectomie, niveau 2
03C052;Réparations de fissures labiale et palatine, niveau 2
05C052;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie, niveau 2
06C052;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans, niveau 2
09C052;Mastectomies subtotales pour tumeur maligne, niveau 2
10C052;Interventions sur les parathyroïdes, niveau 2
11C052;Interventions transurétrales ou par voie transcutanée, niveau 2
12C052;Interventions sur les testicules pour tumeurs malignes, niveau 2
13C052;Interventions sur le système utéroannexiel pour tumeurs malignes, niveau 2
17C052;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus, niveau 2
21C052;Autres interventions pour blessures ou complications d'acte, niveau 2
27C052;Transplantations cardiaques, niveau 2
01C053;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 3
02C053;Interventions sur le cristallin avec ou sans vitrectomie, niveau 3
03C053;Réparations de fissures labiale et palatine, niveau 3
05C053;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie, niveau 3
06C053;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans, niveau 3
09C053;Mastectomies subtotales pour tumeur maligne, niveau 3
10C053;Interventions sur les parathyroïdes, niveau 3
11C053;Interventions transurétrales ou par voie transcutanée, niveau 3
12C053;Interventions sur les testicules pour tumeurs malignes, niveau 3
13C053;Interventions sur le système utéroannexiel pour tumeurs malignes, niveau 3
17C053;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus, niveau 3
21C053;Autres interventions pour blessures ou complications d'acte, niveau 3
27C053;Transplantations cardiaques, niveau 3
01C054;Interventions sur le rachis et la moelle pour des affections neurologiques, niveau 4
02C054;Interventions sur le cristallin avec ou sans vitrectomie, niveau 4
03C054;Réparations de fissures labiale et palatine, niveau 4
05C054;Pontages aortocoronariens sans cathétérisme cardiaque, ni coronarographie, niveau 4
06C054;Interventions sur l'oesophage, l'estomac et le duodénum, âge inférieur à 18 ans, niveau 4
09C054;Mastectomies subtotales pour tumeur maligne, niveau 4
10C054;Interventions sur les parathyroïdes, niveau 4
11C054;Interventions transurétrales ou par voie transcutanée, niveau 4
12C054;Interventions sur les testicules pour tumeurs malignes, niveau 4
13C054;Interventions sur le système utéroannexiel pour tumeurs malignes, niveau 4
17C054;Autres interventions au cours d'affections myéloprolifératives ou de tumeurs de siège imprécis ou diffus, niveau 4
21C054;Autres interventions pour blessures ou complications d'acte, niveau 4
27C054;Transplantations cardiaques, niveau 4
14C06A;Césariennes avec naissance d'un mort-né, sans complication significative
15C06A;Interventions chirurgicales, groupe nouveau-nés 10, sans complication significative
14C06B;Césariennes avec naissance d'un mort-né, avec autres complications
15C06B;Interventions chirurgicales, groupe nouveau-nés 10, avec complications
14C06C;Césariennes avec naissance d'un mort-né, avec complications majeures
14C06D;Césariennes avec naissance d'un mort-né, avec complications sévères
02C06J;Interventions primaires sur l'iris, en ambulatoire
03C06J;Interventions sur les sinus et l'apophyse mastoïde, âge inférieur à 18 ans, en ambulatoire
12C06J;Interventions sur les testicules pour des affections non malignes, âge inférieur à 18 ans, en ambulatoire
13C06J;Interruptions tubaires, en ambulatoire
21C06J;Greffes de peau ou parages de plaies pour lésions autres que des brûlures, en ambulatoire
09C06T;Interventions sur le sein pour des affections non malignes autres que les actes de biopsie et d'excision locale, très courte durée
01C06V;Interventions sur le système vasculaire précérébral sans CMA
05C06V;Autres interventions cardiothoraciques, âge supérieur à 1 an, ou vasculaires quel que soit l'âge, avec circulation extracorporelle, sans CMA
06C06V;Interventions sur l'oesophage, l'estomac et le duodénum, âge supérieur à 17 ans sans CMA
10C06V;Interventions sur la thyroïde, âge inférieur à 70 ans sans CMA
