CODEACTE;CODEACTE_LABEL
A513;Cathétérisme artériel par sonde guidée, sélectif - 3 axes et plus : tronc brachio-céphalique, carotide primitive, carotide interne, carotide externe, vertébrale et autres sélectives - Crâne, contenu et massif facial
A516;Ponction directe artérielle, 1 vaisseau : unihumérale, carotide primitive, carotide interne, carotide externe - Crâne, contenu et massif facial
A517;Ponction directe artérielle, 2 vaisseaux : humérale et carotide primitive - Crâne, contenu et massif facial
A519;Embolisation de la carotide externe cervico-faciale - Crâne, contenu et massif facial
A520;Ponction directe artérielle : fémorale - Membres inférieurs
A522;Embolisation de la carotide externe cranio-méningée - Crâne, contenu et massif facial
A523;Embolisation des malformations artério-veineuses et fistules des artères cérébrales - Crâne, contenu et massif facial
A524;Embolisation des tumeurs vasculaires par ponction directe - Crâne, contenu et massif facial
A525;Ponction directe artérielle : humérale - Membres supérieurs
A526;Ponction directe artérielle : axillaire - Membres supérieurs
A527;Ponction directe artérielle : aorte abdominale - Rachis et contenu
A528;Ponction directe artérielle : aorte abdominale - Tractus digestif
A529;Ponction directe artérielle : aorte abdominale - Tractus génito-urinaire
A530;Ponction directe artérielle : aorte abdominale - Membres inférieurs
A531;Embolisation des malformations vasculaires lentes : capillaro-veineuses, lymphatiques, par ponction directe - Crâne, contenu et massif facial
A532;Embolisation des anévrysmes intracrâniens
A533;Angioplastie du vaso-spasme des vaisseaux cérébraux intracrâniens
A534;Angioplastie des vaisseaux supra-aortiques - Crâne, contenu et massif facial
A535;Un segment rachidien dorsal ou lombo-sacré : 2 incidences
A536;Un segment rachidien cervical : 4 incidences
A537;Un segment rachidien lombo-sacré : 4 incidences
A538;Charnière entre 2 segments rachidiens : 2 incidences
A539;Rachis en totalité sur cassettes 30x120 : 1 incidence
A540;Rachis en totalité sur cassettes 30x120 : 2 incidences
A541;Rachis en totalité sur cassettes 30x120 : 3 incidences et plus
A542;Épreuve dynamique : 2 incidences - Rachis et contenu
A543;Myélographie opaque dorsale et lombaire
A544;Saccoradiculographie ou péridurographie
A545;Discographie : par segment
A546;Ponction ou cytoponction sous radioscopie - Crâne, contenu et massif facial
A547;Mise en place d'une endoprothèse vasculaire : vaisseaux supra-aortiques - Crâne, contenu et massif facial
A548;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Rachis et contenu
A549;Tomographies classiques : 1 incidence et plus de 5 coupes - Rachis et contenu
A554;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Rachis et contenu
A555;Phlébographie orbitaire - Crâne, contenu et massif facial
A561;Phlébographie lombaire - Rachis et contenu
A562;Phlébographies autres que cervicale ou lombaire par ponction directe - Rachis et contenu
A563;Phlébographies autres que cervicale ou lombaire par cathétérisme - Rachis et contenu
A565;Angiographie numérique par voie veineuse périphérique - Rachis et contenu
A566;Lymphographie : examen complet, temps canaliculaire et ganglionnaire - Tractus génito-urinaire
A567;Lymphographie : contrôle après le quinzième jour - Tractus génito-urinaire
A568;Phlébographie cervicale - Rachis et contenu
A569;Phlébographie cervicale - Cœur, cou, cage thoracique
A575;Artériographie sélective des artères pulmonaires droite et gauche - Cœur, cou, cage thoracique
A578;Phlébographie sélective cervicale par cathétérisme thyroïde et parathyroïde
A583;Radioscopie télévisée de longue durée isolée pour examen cardio-vasculaire, par séance et par heure - Cœur, cou, cage thoracique
A588;Phlébographie jugulaire et autres par ponction directe - Crâne, contenu et massif facial
A589;Phlébographie jugulaire et autres par ponction directe - Cœur, cou, cage thoracique
A591;Autres phlébographies par cathétérisme - Poumon et médiastin
A592;Angiographie numérique par voie veineuse centrale - Poumon et médiastin
A593;Angiographie numérique par voie veineuse périphérique - Poumon et médiastin
A594;Phlébographie jugulaire et autres par cathétérisme - Crâne, contenu et massif facial
A595;Phlébographie jugulaire et autres par cathétérisme - Cœur, cou, cage thoracique
A596;Cavographie supérieure par ponction périphérique - Cœur, cou, cage thoracique
A597;Cavographie supérieure par ponction périphérique - Poumon et médiastin
A598;Cavographie supérieure par cathétérisme - Cœur, cou, cage thoracique
A599;Cavographie supérieure par cathétérisme - Poumon et médiastin
A600;Portographie transpariéto-hépatique - Tractus digestif
A601;Portographie jugulaire - Tractus digestif
A602;Phlébographie hypersélective portale par sonde guidée - Tractus digestif
A604;Phlébographie sus-hépatique sélective avec ou sans prise de pression - Tractus digestif
A606;Autres phlébographies par cathétérisme - Tractus digestif
A607;Splénoportographie - Tractus digestif
A608;Angiographie abdominale numérique par voie veineuse périphérique
A609;Lymphographie - Tractus digestif
A610;Angio-cardio-pneumographie par ponction périphérique - Cœur, cou, cage thoracique
A611;Angio-cardio-pneumographie par ponction périphérique - Poumon et médiastin
A612;Angio-cardio-pneumographie par cathétérisme avec injection cave ou auriculaire - Cœur, cou, cage thoracique
A613;Angio-cardio-pneumographie par cathétérisme avec injection cave ou auriculaire - Poumon et médiastin
A614;Artériographie sélective des artères pulmonaires droite et gauche - Poumon et médiastin
A616;Cavographie inférieure par cathétérisme - Tractus génito-urinaire
A617;Phlébographie surrénalienne
A618;Phlébographie rénale
A619;Phlébographie spermatique ou ovarienne
A620;Autres phlébographies par cathétérisme - Tractus génito-urinaire
A621;Scopie télévisée de longue durée avec cathétérisme veineux par sonde guidée isolée, sans prise de cliché - Tractus génito-urinaire
A622;Angiographie numérique (aortique ou rénale) par voie veineuse - Tractus génito-urinaire
A623;Ventriculographie droite par cathétérisme - Cœur, cou, cage thoracique
A624;Ventriculographie droite par cathétérisme - Poumon et médiastin
A625;Phlébographie du ou des membre(s) inférieur(s) : veines du pied
A626;Contrôle de shunt artério-veineux du membre inférieur, par sonde guidée
A627;Contrôle de shunt artério-veineux du membre inférieur, par ponction directe
A628;Lymphographie : examen complet, temps canaliculaire et ganglionnaire - Membres inférieurs
A629;Lymphographie : contrôle après le quinzième jour - Membres inférieurs
A630;Angiographie numérique par voie veineuse - Membres inférieurs
A631;Ilio-cavographie par ponction directe uni ou bifémorale - Tractus génito-urinaire
A632;Iliocavographie par ponction directe uni ou bifémorale - Membres inférieurs
A633;Iliocavographie par ponction directe uni ou bifémorale - Tractus digestif
A634;Cavographie inférieure par cathétérisme - Tractus digestif
A635;Phlébographie du ou des membre(s) supérieur(s)
A636;Contrôle de shunt artério-veineux du membre supérieur, par sonde guidée
A637;Contrôle de shunt artério-veineux du membre supérieur, par ponction directe
A638;Angiographie numérique par voie veineuse - Membres supérieurs
A639;Lymphographie : examen complet, temps canaliculaire et ganglionnaire - Membres supérieurs
A640;Lymphographie : contrôle après le quinzième jour - Membres supérieurs
A645;Angiographie numérique par voie veineuse périphérique - Crâne, contenu et massif facial
A646;Tomographies classiques : 2 incidences et plus de 10 coupes - Rachis et contenu
A647;Biopsie osseuse profonde du rachis
A648;Infiltration rachidienne cervicale
A649;Infiltration rachidienne lombaire
A651;Contrôle radioscopique peropératoire - Rachis et contenu
A654;Cathétérisme artériel par sonde guidée : aorte thoracique, 2 incidences - Rachis et contenu
A655;Cathétérisme artériel par sonde guidée : aorte thoracique - Cœur, cou, cage thoracique
A656;Cathétérisme artériel par sonde guidée : aorte thoracique - Poumon et médiastin
A657;Cathétérisme artériel par sonde guidée : aorte abdominale, 2 incidences - Rachis et contenu
A658;Cathétérisme artériel par sonde guidée : aorte abdominale - Tractus digestif
A659;Cathétérisme artériel par sonde guidée : aorte abdominale - Tractus génito-urinaire
A666;Embolisation des fistules artério-veineuses : carotide externe, vertébro-vertébrale, carotido-caverneuse
A668;Cathétérisme artériel par sonde guidée, sélectif - 1 axe : tronc brachio-céphalique, carotide primitive, sous-clavière, vertébrale, carotide externe, intercostale, lombaire et autres sélectives - Rachis et contenu
A670;Cathétérisme artériel par sonde guidée, sélectif - 2 axes : tronc brachio-céphalique, carotide primitive, sous-clavière, vertébrale, carotide externe, intercostale, lombaire et autres sélectives - Rachis et contenu
A672;Cathétérisme artériel par sonde guidée, sélectif - 3 axes et plus : tronc brachio-céphalique, carotide primitive, sous-clavière, vertébrale, carotide externe, intercostale, lombaire et autres sélectives - Rachis et contenu
A681;Biopsie isolée ou associée à une ponction du sein, sous repérage stéréotaxique
A682;Embolisation rachidienne, vertébrale
A683;Angioplastie de deux artères coronaires
A684;Chimio-embolisation - Rachis et contenu
A685;Embolisation d'une malformation artério-veineuse vertébro-médullaire
A686;Téléradiographie thoracique : 1 incidence
A687;Téléradiographie thoracique : 2 incidences
A688;Téléradiographie thoracique : 3 incidences et plus
A689;Mammographie de dépistage : 2 films
A690;Radiographie peropératoire - Cœur, cou, cage thoracique
A691;Radioscopie avec enregistrement vidéo ou cinéma : cœur
A692;Radioscopie avec enregistrement vidéo ou cinéma : déglutition
A693;Pharyngographie et/ou déglutition
A694;Ponction ou cytoponction du sein sous repérage stéréotaxique
A695;Ponction du thorax sous scopie
A696;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Cœur, cou, cage thoracique
A697;Tomographies classiques : 1 incidence et plus de 5 coupes - Cœur, cou, cage thoracique
A698;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Cœur, cou, cage thoracique
A699;Tomographies classiques : 2 incidences et plus de 10 coupes - Cœur, cou, cage thoracique
A700;Téléradiographie thoracique avec opacification de l'œsophage : 2 à 4 incidences
A701;Cathétérisme artériel par sonde guidée, sélectif - 1 vaisseau : tronc brachio-céphalique, sous-clavière, carotide primitive, carotide interne, carotide externe, thyroïdienne, parathyroïdienne, mammaire interne, intercostale, et autres sélectives - Cœ
A702;Cathétérisme artériel par sonde guidée, sélectif - 2 vaisseaux : tronc brachio-céphalique, sous-clavière, carotide primitive, carotide interne, carotide externe, thyroïdienne, parathyroïdienne, mammaire interne, intercostale, et autres sélectives - C
A703;Cathétérisme artériel par sonde guidée, sélectif - 3 vaisseaux et plus : tronc brachio-céphalique, sous-clavière, carotide primitive, carotide interne, carotide externe, thyroïdienne, parathyroïdienne, mammaire interne, intercostale et autres sélecti
A704;Ponction directe artérielle, 1 vaisseau : humérale, axillaire, carotide primitive, carotide externe
A705;Ponction directe artérielle, 2 vaisseaux : humérale, axillaire, carotide primitive, carotide externe
A706;Angioplastie de trois artères coronaires ou plus
A707;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Membres inférieurs
A708;Tomographies classiques : 1 incidence et plus de 5 coupes - Membres inférieurs
A709;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Membres inférieurs
A710;Tomographies classiques : 2 incidences et plus de 10 coupes - Membres inférieurs
A711;Biopsie osseuse superficielle - Membres inférieurs
A712;Angiographie numérique par voie veineuse périphérique : cœur, artère pulmonaire, aorte
A713;Angiographie numérique par voie veineuse centrale : cœur, artère pulmonaire, aorte
A714;Radiographie de poumon au lit
A715;Radiographie peropératoire - Poumon et médiastin
A716;Téléthorax en inspiration puis expiration
A717;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Poumon et médiastin
A718;Tomographies classiques : 1 incidence et plus de 5 coupes - Poumon et médiastin
A719;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Poumon et médiastin
A720;Tomographies classiques : 2 incidences et plus de 10 coupes - Poumon et médiastin
A721;Cathétérisme artériel par sonde guidée, sélectif - 1 vaisseau : tronc brachio-céphalique, sous-clavière, mammaire interne, intercostale, bronchique et autres sélectives - Poumon et médiastin
A722;Cathétérisme artériel par sonde guidée, sélectif - 2 vaisseaux : tronc brachio-céphalique, sous-clavière, mammaire interne, intercostale, bronchique et autres sélectives - Poumon et médiastin
A723;Cathétérisme artériel par sonde guidée, sélectif - 3 vaisseaux et plus : tronc brachio-céphalique, sous-clavière, mammaire interne, intercostale, bronchique et autres sélectives - Poumon et médiastin
A724;Abdomen sans préparation : 1 incidence - Tractus digestif
A725;Abdomen sans préparation : 2 incidences - Tractus digestif
A726;Abdomen sans préparation : 3 incidences et plus - Tractus digestif
A727;Radiographie peropératoire - Tractus digestif
A728;Côlon avec lavement aux hydrosolubles incluant l'abdomen sans préparation
A729;Cholangiographie intraveineuse avec tomographies
A735;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Tractus digestif
A736;Tomographies classiques : 1 incidence et plus de 5 coupes - Tractus digestif
A737;Cathétérisme artériel par sonde guidée, sélectif - 1 vaisseau : tronc cœliaque, mésentérique supérieure, mésentérique inférieure, hépatique, gastro-duodénale, pancréatique, splénique, coronaire stomachique et autres sélectives - Tractus digestif -
A738;Cathétérisme artériel par sonde guidée, sélectif - 2 vaisseaux : tronc cœliaque, mésentérique supérieure, mésentérique inférieure, hépatique, gastro-duodénale, pancréatique, splénique, coronaire stomachique et autres sélectives - Tractus digestif -
A739;Cathétérisme artériel par sonde guidée, sélectif - 3 vaisseaux et plus : tronc cœliaque, mésentérique supérieure, mésentérique inférieure, hépatique, gastro-duodénale, pancréatique, splénique, coronaire stomachique et autres sélectives - Tractus dige
A740;Abdomen sans préparation : 1 incidence - Tractus génito-urinaire
A741;Abdomen sans préparation : 2 incidences - Tractus génito-urinaire
A742;Abdomen sans préparation : 3 incidences et plus - Tractus génito-urinaire
A743;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Tractus génito-urinaire
A744;Tomographies classiques : 1 incidence et plus de 5 coupes - Tractus génito-urinaire
A745;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Tractus génito-urinaire
A746;Tomographies classiques : 2 incidences et plus de 10 coupes - Tractus génito-urinaire
A747;Cathétérisme artériel par sonde guidée, sélectif - 1 vaisseau : diaphragmatique inférieure, lombaire ou intercostale, rénale, surrénalienne, hypogastrique et autres sélectives - Tractus génito-urinaire
A748;Cathétérisme artériel par sonde guidée, sélectif - 2 vaisseaux : diaphragmatique inférieure, lombaire ou intercostale, rénale, surrénalienne, hypogastrique et autres sélectives - Tractus génito-urinaire
A749;Cathétérisme artériel par sonde guidée, sélectif - 3 vaisseaux et plus : diaphragmatique inférieure, lombaire ou intercostale, rénale, surrénalienne, hypogastrique et autres sélectives - Tractus génito-urinaire
A751;Bassin : 1 incidence
A752;Bassin : 2 incidences
A753;Bassin : 3 incidences et plus
A754;Hanche(s) : 1 incidence
A755;Hanche(s) : 2 incidences
A756;Hanche(s) : 3 incidences et plus
A757;Bassin et hanche(s) : 3 incidences et plus
A758;Bassin et hanche(s) : au bloc opératoire
A759;Fémur : 3 incidences et plus
A760;Genou(x) : 3 incidences
A761;Genou(x) : 4 incidences
A762;Genou(x) : 5 incidences
A763;Genou(x) : 6 incidences et plus
A764;Jambe(s) : 3 incidences et plus
A765;Cheville(s) : 3 incidences et plus
A766;Pied(s) : 3 incidences
A767;Âge osseux : main, poignet, coude et aile iliaque
A768;Âge osseux : hémisquelette
A769;Radiographie peropératoire - Membres inférieurs
A770;Infiltration périphérique - Membres inférieurs
A771;Cathétérisme artériel par sonde guidée : aorte, iliaque - Membres inférieurs
A772;Épaule : 1 incidence
A773;Épaule : par incidence supplémentaire
A774;Clavicule, omoplate : 2 incidences
A775;Humérus, avant-bras : 2 incidences
A776;Humérus, avant-bras : 4 incidences
A777;Coude, poignet, main, doigts, scaphoïde : 2 incidences
A778;Coude, poignet, main, doigts, scaphoïde : 4 incidences
A779;Âge osseux : main, poignet
A780;Âge osseux : main, poignet, coude
A781;Radiographie peropératoire - Membres supérieurs
A782;Arthrographie métacarpo-phalangienne, interphalangienne
A783;Tomographies classiques : 1 incidence et jusqu'à 5 coupes - Membres supérieurs
A784;Tomographies classiques : 1 incidence et plus de 5 coupes - Membres supérieurs
A785;Tomographies classiques : 2 incidences et jusqu'à 10 coupes - Membres supérieurs
A786;Tomographies classiques : 2 incidences et plus de 10 coupes - Membres supérieurs
A787;Aspiration calcique - Membres supérieurs
A788;Cathétérisme artériel par sonde guidée : sélectif - Membres supérieurs
A789;Radioscopie isolée : temps passé inférieur à 30 minutes
A790;Radioscopie isolée : temps passé compris entre 30 et 60 minutes
A791;Radioscopie isolée : temps passé supérieur à 60 minutes
A792;Vertébroplastie
A793;Cathétérisme isolé du cœur gauche, sans injection, sans lecture de pressions ni de tracés
A794;Cathétérisme isolé du cœur gauche avec épreuves pharmacodynamiques et/ou radioscopie télévisée de longue durée
A795;Cathétérisme isolé du cœur gauche, sans injection, avec lecture de pressions et/ou tracés
A796;Cathétérisme isolé du cœur gauche, avec injection, et avec lecture de pressions et/ou tracés
A797;Cathétérisme isolé du cœur droit, sans injection, sans lecture de pressions ni de tracés
A798;Cathétérisme isolé du cœur droit avec épreuves pharmacodynamiques et/ou radioscopie télévisée de longue durée
A799;Cathétérisme isolé du cœur droit, sans injection, avec lecture de pressions et/ou tracés
A800;Radiographie peropératoire - Rachis et contenu
A801;Échographie peropératoire - Rachis et contenu
A802;Réduction de fracture des membres inférieurs sous scopie télévisée
A803;Réduction de fracture des membres supérieurs sous scopie télévisée
A806;Densitométrie rachidienne
A807;Cathétérisme isolé du cœur droit, avec injection, et avec lecture de pressions et/ou tracés
A808;Mise en place transpariéto-hépatique d'une endoprothèse biliaire
A809;Mise en place endoscopique d'une endoprothèse biliaire
A810;Échographie peropératoire - Cœur, cou, cage thoracique
A813;Densitométrie de la tête fémorale et du col fémoral
A815;Échographie peropératoire - Poumon et médiastin
A816;Densitométrie de la tête humérale et du col huméral
A819;Extraction ou remplacement endoscopique d'une endoprothèse biliaire
A822;Fistulographie peropératoire
A824;Wirsungographie peropératoire
A825;Opacification de Wirsung et/ou des voies biliaires par voie endoscopique peropératoire
A826;Angiographie peropératoire - Tractus digestif
A827;Embolisation peropératoire - Tractus digestif
A830;Angiographie peropératoire - Tractus génito-urinaire
A831;Embolisation peropératoire - Tractus génito-urinaire
A832;Radiographie peropératoire - Tractus génito-urinaire
A834;Opacification peropératoire unilatérale des voies excrétrices urinaires
A836;Angiographie peropératoire - Membres inférieurs
A837;Angiographie peropératoire - Membres supérieurs
A843;Mise en place d'une endoprothèse vasculaire - Cœur, cou, cage thoracique
A844;Mise en place d'une endoprothèse vasculaire - Poumon et médiastin
A845;Mise en place d'une endoprothèse vasculaire - Tractus digestif
A846;Mise en place d'une endoprothèse vasculaire - Tractus génito-urinaire
A847;Mise en place d'une endoprothèse vasculaire - Membres inférieurs
A848;Mise en place d'une endoprothèse vasculaire - Membres supérieurs
A849;Artériographie des malformations vasculaires médullaires
A850;Gastrostomie transcutanée
A852;Tentative de réduction d'une invagination intestinale aiguë par lavement opaque ou insufflation sous contrôle d'imagerie
A853;Dilatation de l'œsophage sous contrôle radiologique
A854;Lithotritie vésiculaire extracorporelle
A860;Pose d'un filtre cave par cathétérisme transcutané - Tractus génito-urinaire
A861;Salpingographie sélective sans autre indication
A862;Salpingographie sélective avec geste d'occlusion ou de reperméabilisation - Tractus génito-urinaire
A870;Contrôle radiologique d'une injection intra-articulaire à visée thérapeutique - Membres inférieurs
A872;Angioplastie autre que coronaire - Cœur, cou, cage thoracique
A873;Extraction ou remplacement transpariéto-hépatique d'une endoprothèse biliaire
A874;Alcoolisation des relais sympathiques sous guidage d'imagerie - Tractus digestif
A875;Contrôle radiologique d'une injection intra-articulaire à visée thérapeutique - Membres supérieurs
A876;Alcoolisation des relais sympathiques sous guidage d'imagerie - Tractus génito-urinaire
A877;Mise en place d'une sonde de néphrostomie percutanée sous contrôle radiologique
A881;Traitement endoluminal au LASER
A882;Athérectomie endoluminale
A883;Autres techniques de traitement endovasculaire
A916;Mise en place d'une endoprothèse dans les voies excrétrices urinaires
A919;Fibrinolyse in situ - Crâne, contenu et massif facial
A920;Chimio-infusion cérébrale et ORL - Crâne, contenu et massif facial
A927;Mise en place endoscopique d'une endoprothèse œsophagienne
A929;Alcoolisation de masses hépatiques sous échographie
A930;Cholangiographie transpariéto-hépatique sous échographie
A931;Wirsungographie par ponction directe transpariétale sous échographie
A932;Drainage de collection sous scanographie - Rachis et contenu
A933;Drainage de collection sous scanographie - Cœur, cou, cage thoracique
A934;Drainage de collection sous scanographie - Poumon et médiastin
A935;Drainage de collection sous scanographie - Tractus digestif
A936;Drainage de collection sous scanographie - Tractus génito-urinaire
A937;Drainage de collection sous scanographie - Membres inférieurs
A938;Drainage de collection sous scanographie - Membres supérieurs
B001;Scanographie X : crâne et contenu, sans injection intraveineuse de produit de contraste
B002;Scanographie X : crâne et contenu, avec injection intraveineuse de produit de contraste
B003;Scanographie X : crâne et contenu, sans et avec injection intraveineuse de produit de contraste
B006;Scanographie X : sinus, massif facial, orbites, rochers, sans injection intraveineuse de produit de contraste
B007;Scanographie X : sinus, massif facial, orbites, rochers, avec injection intraveineuse de produit de contraste
B008;Scanographie X : sinus, massif facial, orbites, rochers, sans et avec injection intraveineuse de produit de contraste
